lat,lng,time
38.967571,-3.889539,1707720418
5.576771,-73.339788,1707995190
32.892115,74.730157,1707852327
26.806198,-80.074125,1710415639
50.598445,-104.827800,1704116182
31.392232,75.623296,1704486721
-12.971450,-44.048583,1703043136
27.375684,83.841282,1702420943
33.006940,-7.632579,1704675727
9.423860,76.497065,1710543547
17.461881,78.531739,1692297108
6.630624,3.503612,1707009166
39.026576,-77.484229,1708927728
38.662037,39.224579,1700798219
13.506857,9.148590,1695950087
19.671830,100.249678,1710352921
50.815414,6.045277,1707011862
20.623777,75.997550,1700355968
13.040111,77.545604,1711841892
25.523398,84.900385,1696807213
24.522677,87.027770,1704548450
30.317565,57.084241,1703540708
28.589164,-81.561256,1698389205
-15.390366,35.318488,1699312280
28.920721,75.198550,1702054005
45.455985,126.424687,1702495033
9.680705,76.336587,1706141515
6.113889,7.511850,1710888954
-32.174980,23.830362,1703306886
32.365942,75.424484,1703793379
22.325365,70.797639,1700182069
7.792309,-72.218987,1704344968
34.028939,36.144042,1705968789
35.088152,113.022987,1702417793
29.909762,115.951650,1707150828
32.511966,-7.972181,1711066559
22.350637,72.652555,1702076721
33.214190,-96.722719,1706075439
32.445052,-80.671533,1697106655
-4.872312,-80.825026,1706162249
11.440181,-9.040248,1699752874
46.498672,30.694168,1700358583
26.986795,82.020981,1702147372
22.901348,88.063884,1706301044
25.645296,89.429212,1709323327
53.284287,-6.384536,1703304488
-7.132015,31.112191,1701826884
14.769323,-17.401980,1698208280
-10.263459,38.852259,1696988316
-11.458004,34.001455,1699757448
39.088302,117.193262,1707058697
23.849821,85.952371,1703726823
31.376321,73.024257,1703017577
51.032899,7.841616,1703976671
27.314029,30.957029,1700430293
12.690843,79.966488,1703805619
30.284552,72.595772,1704072243
10.578314,79.646616,1709831710
23.802588,86.444127,1709860458
20.778728,72.967567,1697841883
40.459692,-80.006925,1708070291
24.266064,89.463436,1706286807
20.120178,85.961971,1701540156
-1.547039,36.744322,1706310139
51.942003,15.488707,1703042553
23.348552,-109.592092,1699881211
26.878878,80.969163,1701300346
50.991597,6.904674,1704487596
25.053045,102.645197,1705783559
-33.709334,-71.348334,1696819180
-16.728944,31.108781,1708203098
35.498102,5.537370,1708656693
43.261912,76.928415,1705177749
27.681644,68.911958,1710018821
22.067532,78.928063,1703022066
39.719666,44.872330,1710444440
27.480363,68.785701,1699643288
36.717397,7.845211,1705466377
50.314256,34.876399,1709853817
-5.145555,-42.799352,1697512141
49.212493,6.081316,1705634480
41.625039,35.715842,1709839709
-21.148126,-65.010979,1698907358
37.140776,42.593896,1706129882
25.112322,66.944270,1699495957
7.760892,122.543530,1699810652
26.904994,75.772431,1701821605
35.658750,9.052767,1694302266
35.717655,51.330496,1706571653
27.493101,79.982683,1710901223
30.605883,71.273001,1705955723
6.438331,3.475731,1700706409
27.988230,73.019915,1710545222
12.639999,-15.285678,1708753951
17.653283,77.943017,1703533627
23.758151,72.012194,1705099225
-12.868696,28.243740,1700711214
43.713802,7.250455,1698360734
15.987214,76.128657,1704827282
49.404315,38.178114,1707861497
35.948394,39.035384,1708472398
33.785067,70.636586,1695497318
29.608651,76.785732,1702415184
53.071788,22.651753,1702514274
11.881436,10.805238,1705883325
13.807960,-4.889199,1701498222
49.013641,36.478098,1702858779
34.739927,112.412706,1698351595
52.092244,4.341674,1706678432
27.434615,68.328217,1700339635
34.400969,71.230989,1702673869
25.668135,86.314271,1702598404
-23.040562,-52.473073,1704612390
53.546051,7.265824,1703543041
8.318106,35.585374,1704921409
10.311276,14.029708,1705551580
-2.228121,28.824068,1702006951
48.449199,30.399777,1699393054
55.876219,37.505017,1704754641
-16.022162,34.782645,1692577331
4.809690,6.260196,1704001018
8.468944,-13.182168,1704845677
6.185838,80.177363,1702748489
-17.349675,-66.209882,1697090529
11.147922,78.954187,1702076954
21.547971,-77.268124,1701912164
31.947721,76.780196,1707412416
37.440430,29.328453,1706395690
29.625280,77.757395,1703534677
17.448228,78.456872,1705283842
50.516591,21.692604,1708143486
28.993152,78.278499,1709591933
27.528951,-82.586634,1703840023
27.260475,31.102950,1699751670
36.270914,4.817860,1699320147
27.367381,81.975693,1698956010
-21.784923,-41.295082,1708924413
18.260130,33.933336,1705697098
22.486044,88.695033,1697484417
26.937416,85.420066,1701713770
-9.079244,-40.269612,1700027941
11.194336,-0.150078,1697258013
-25.099647,-57.024906,1695124212
9.945459,-12.986540,1699306880
22.995578,72.509203,1709162611
-25.083540,28.998944,1699483836
27.326474,80.848746,1702947416
32.036989,35.850246,1708227432
27.002625,81.303958,1703977981
17.375773,80.777224,1709493099
1.939417,30.040508,1704138008
56.486441,84.971227,1698246905
24.930709,81.328726,1699484324
38.945854,115.316976,1705436709
30.686912,31.773214,1700887321
19.914379,83.166657,1705608549
31.729194,72.397229,1704849482
29.317438,48.054832,1705972824
40.864941,0.517895,1705458320
27.062768,77.803694,1704481607
1.789501,36.956394,1695960303
8.118521,4.501657,1698005475
10.009598,-84.118356,1702716091
21.645152,86.017736,1702928827
-33.360061,-69.150723,1707723302
39.561484,2.385977,1706498346
34.773199,113.032881,1698417136
9.162015,41.569460,1710462619
53.862480,27.553137,1703276652
-21.995369,-63.680602,1698481168
-1.541925,30.115402,1710732836
28.959689,77.749458,1711573613
17.982537,79.284160,1702771577
4.991534,-73.756632,1706765494
6.911516,39.045428,1708025857
22.579741,88.260706,1706030610
28.351187,68.374691,1703695761
15.657790,74.491784,1695753542
26.891965,83.937876,1704311126
25.624069,68.686476,1706215400
20.812957,86.841104,1703708712
48.420569,7.593951,1708200395
60.200907,29.694218,1696549340
34.279351,45.160838,1712025328
39.650442,76.934083,1706979162
30.309024,48.346925,1709594312
12.092029,-16.020458,1705448909
51.679472,-1.939932,1706317095
58.352695,12.329939,1695609290
6.981776,38.320869,1702353335
21.485968,39.263216,1705368033
20.281074,-102.560494,1704976235
7.894810,37.971717,1705628431
37.913452,40.233439,1707707560
20.401196,78.148600,1698085306
6.541541,3.291283,1702871902
51.036040,16.850687,1705382441
12.990177,5.614166,1702186418
18.090222,-96.941535,1708253414
40.969451,29.095866,1701144840
-17.399407,14.944782,1702593493
25.081137,91.402521,1702404254
26.492885,81.034500,1700700186
49.223900,18.112621,1703981287
-30.012964,-51.060560,1706852304
14.984039,75.747498,1699820441
24.598631,76.148991,1703522979
12.825218,45.025982,1706582635
34.061176,72.367443,1702593357
-13.242131,39.104252,1704063319
-20.264328,57.487154,1703722900
-25.627883,31.669936,1708911465
-5.028145,35.941304,1694985708
35.095460,-106.626184,1701415888
43.035974,-88.017373,1706254696
24.599925,81.842982,1708118221
9.317345,38.749632,1700165139
-1.131969,-80.403159,1707130870
28.472327,72.941082,1705695603
19.165277,-98.114553,1698141115
21.689057,82.291139,1712261343
20.609507,-100.402971,1711279842
15.559493,43.842395,1710182781
10.775810,77.553613,1709061877
23.131540,87.956661,1700351662
5.685090,-0.185619,1707698825
65.104751,57.076637,1706045741
30.669910,30.761941,1704071999
2.907453,11.148706,1702253692
28.167857,78.362305,1709165168
23.855868,90.074300,1709925060
18.018008,-76.994732,1706229771
27.849870,-82.479424,1692181218
13.769480,-10.852267,1703110388
25.609006,83.045303,1706227145
-8.814996,13.296385,1697087051
22.637842,72.650675,1703982972
12.467393,-0.846121,1703044022
-4.653982,34.595315,1698109669
27.197531,73.479252,1706920147
26.237881,86.830349,1706822971
13.110896,77.603341,1705796642
16.641691,80.987749,1704063598
19.409566,77.986240,1708811582
31.632046,74.174971,1710871980
10.492288,-63.554570,1695467833
43.563768,11.176957,1704333925
-0.260443,36.333992,1706669628
44.208468,86.445880,1701959079
25.357469,87.776451,1705775779
51.485229,6.970421,1697944295
32.624770,13.210461,1706402370
43.465867,6.172099,1702186261
32.825468,35.077766,1688968425
-10.308622,-37.464058,1696583163
24.389174,83.960843,1705883420
9.939754,77.958404,1702500949
28.524543,77.670482,1704319633
21.554957,39.171993,1688857592
29.611161,74.616625,1705275270
22.453488,88.394830,1699218900
14.635586,-90.564626,1703317268
13.317043,25.308833,1708560690
25.853583,87.603524,1704061182
11.861641,3.680479,1710467840
7.071558,-73.093033,1704186239
36.484702,-4.998745,1709360532
12.972441,77.535128,1707160649
29.975172,79.869806,1700340883
7.010238,80.180684,1704736075
16.125010,80.416901,1703111823
47.887127,1.887924,1701056312
23.369582,78.991312,1702758257
37.493620,126.621831,1710949170
52.547198,13.344130,1706570900
45.398966,11.099774,1701911564
28.014478,82.665703,1701363760
37.989791,13.841798,1706667957
32.624891,43.992370,1705109940
27.891164,81.648344,1699057141
31.416789,75.027377,1709773555
11.311991,8.139482,1704774854
24.580235,81.636108,1709654947
-4.094521,33.909139,1700442013
10.730254,14.611896,1704248797
-20.401053,57.596950,1696723736
-18.842236,47.463764,1695683992
21.629325,82.294207,1693936919
48.130165,-2.155548,1700959540
-1.788762,37.616685,1707953955
43.344909,76.975589,1700951483
23.075424,87.453317,1707251702
-25.138571,45.985180,1703027106
48.761525,2.493245,1703904571
25.476605,82.703177,1702069046
24.345989,89.037001,1702241332
6.398829,2.525875,1711257228
25.761791,83.181698,1702408575
24.151273,90.490391,1704750165
36.395686,1.248643,1712283253
30.984360,30.377709,1711242236
25.998548,-80.222086,1705209482
33.069207,115.423508,1705151655
9.301714,77.379137,1704389783
49.873654,12.371308,1710276339
22.316573,88.966383,1700343437
12.493228,4.671065,1705806240
22.638269,75.828398,1693409215
24.757655,90.375243,1710030418
-26.213664,27.889257,1702323657
15.783381,39.336221,1697684674
52.900041,40.570049,1702089954
32.591719,44.050502,1704851652
10.827266,10.993206,1710827716
22.994184,88.820030,1705615127
35.684514,-5.313187,1702260884
26.800193,80.504454,1704933776
51.542119,-0.448800,1701055666
32.530186,71.638856,1703361528
-25.754077,29.438977,1701150391
-23.741420,34.984526,1706675974
9.096253,40.943056,1707698041
34.569096,71.813975,1708296976
-19.781514,-45.249088,1707474565
26.705523,80.125687,1704903130
-19.832490,47.032361,1706728050
37.550492,48.498602,1698792537
-23.589606,-70.392920,1707272921
26.486032,89.523694,1704131658
29.978881,-95.169544,1699611308
52.219223,20.973977,1704066007
25.192453,55.397738,1705529114
24.589867,80.470132,1710359864
5.111884,97.276453,1709250374
23.918322,73.868502,1703449331
21.424603,73.731253,1701126168
3.802736,11.536808,1708566924
17.991698,-93.389621,1704623458
30.693315,31.100423,1691768561
26.367497,89.907789,1709582573
30.529489,114.282798,1705000888
7.753231,38.413166,1707867002
20.473684,82.909838,1700787350
